0.299995, 2.48161
0.146284, 2.49432
0.0486485, 2.08548
0.0486025, 1.48112
0.0515603, 1.1655
0.0486873, 0.98994
0.0510152, 0.858965
0.0607394, 0.749948
0.048732, 0.702147
0.0499157, 0.644348
0.0456816, 0.603278
0.0451892, 0.564113
0.0505783, 0.524891
0.0484198, 0.49689
0.0631333, 0.460173
0.04969, 0.444892
0.0532789, 0.420729
0.0694544, 0.393593
0.071174, 0.374797
0.0687075, 0.358097
0.0433181, 0.345589
0.0548186, 0.326113
0.0511995, 0.308987
0.0535599, 0.291662
0.0369018, 0.272502
0.0551691, 0.256996
0.0405477, 0.235341
0.0481016, 0.218126
0.0507385, 0.199168
0.0601517, 0.182816
0.0389805, 0.148805
0.0352153, 0.120665
0.0480673, 0.102265
0.0548769, 0.0781192
0.0847875, 0.0758852
0.122252, 0.0869266
0.138945, 0.0768057
0.165255, 0.0826818
0.189277, 0.0898579
0.211421, 0.0988476
0.220701, 0.0789064
0.239886, 0.0862457
0.253359, 0.0742938
0.270958, 0.0837405
0.285537, 0.0712188
0.301664, 0.068876
0.31658, 0.0866428
0.33366, 0.0740082
0.351258, 0.0687642
0.364405, 0.082999
0.377738, 0.0927611
0.392795, 0.0972212
0.416826, 0.0857708
0.452933, 0.0609577
0.471524, 0.0693031
0.490409, 0.0782411
0.504821, 0.0928187
0.551333, 0.0789628
0.583907, 0.0835462
0.645556, 0.0727789
0.678235, 0.0875829
0.765908, 0.0795009
0.85452, 0.0834654
0.998853, 0.0818158
1.23405, 0.0783579
1.62549, 0.0815529
2.44749, 0.0982234
2.46074, 0.248757
2.44388, 0.399257
2.44919, 0.550929
2.45392, 0.705736
2.44531, 0.861856
2.4443, 1.02514
2.43613, 1.1932
1.61018, 0.959384
1.56717, 1.05306
2.45675, 1.79415
2.44589, 2.02045
2.43746, 2.2743
2.36973, 2.49903
2.07605, 2.47331
1.83982, 2.479
1.62651, 2.48694
0.886723, 1.44066
0.769837, 1.39555
0.700054, 1.44832
0.808151, 2.16935
0.685903, 2.2488
0.578584, 2.50691
0.42153, 2.48226
0.313884, 2.46875
0.162207, 2.48451
0.0498826, 2.18062
0.0490117, 1.53463
0.0521657, 1.20178
0.0450976, 1.03096
0.0503276, 0.887269
0.0509771, 0.792524
0.0492288, 0.724062
0.0560555, 0.657406
0.0563414, 0.611335
0.0463397, 0.583223
0.0492722, 0.54589
0.0383818, 0.524311
0.0587952, 0.482238
0.0560016, 0.460252
0.0491193, 0.441629
0.0603247, 0.41593
0.0489817, 0.400604
0.0387793, 0.384125
0.0475851, 0.3634
0.0407203, 0.346106
0.0520466, 0.327428
0.0436956, 0.309801
0.0513295, 0.292558
0.0433779, 0.273435
0.0489906, 0.256061
0.0472353, 0.236499
0.0346095, 0.211414
0.0460014, 0.194713
0.0576494, 0.178637
0.0577615, 0.155156
0.0484839, 0.122054
0.0618267, 0.104071
0.0692749, 0.0795757
0.101955, 0.0823975
0.135955, 0.0925446
0.1545, 0.0854265
0.170551, 0.0747523
0.195027, 0.0823436
0.216188, 0.0877359
0.236196, 0.0953469
0.251417, 0.089052
0.267391, 0.0851108
0.283094, 0.0738586
0.300193, 0.0927649
0.317828, 0.0667046
0.333151, 0.0841364
0.347814, 0.0945535
0.368883, 0.0791467
0.386376, 0.0819209
0.404105, 0.0853322
0.423978, 0.085955
0.448443, 0.081577
0.472479, 0.0817535
0.48813, 0.0949174
0.541239, 0.0694888
0.572991, 0.0735572
0.594819, 0.0890426
0.64722, 0.0853386
0.717433, 0.0787729
0.797872, 0.0772293
0.895161, 0.0799521
1.01825, 0.0875105
1.26071, 0.0823212
1.67062, 0.0818639
2.44934, 0.100937
2.44992, 0.252025
2.44232, 0.402223
2.44869, 0.553714
2.44614, 0.706836
2.46248, 0.868343
2.45299, 1.02951
2.44982, 1.19955
1.58165, 0.95159
1.58031, 1.06659
2.45575, 1.78985
2.44607, 2.01485
2.45421, 2.28104
2.37795, 2.4963
2.10488, 2.49661
1.84615, 2.47515
1.63191, 2.4811
0.884713, 1.43581
0.777324, 1.41031
0.710857, 1.4721
0.814965, 2.1641
0.689942, 2.22148
0.587757, 2.48381
0.433841, 2.46981
0.365458, 2.49081
0.215117, 2.47295
0.0644233, 2.47343
0.0429866, 1.74924
0.0471076, 1.32584
0.0471086, 1.09789
0.0501056, 0.942295
0.0439629, 0.850895
0.0508396, 0.759171
0.0492803, 0.700267
0.0456028, 0.654797
0.0467969, 0.61091
0.0489744, 0.572504
0.0549555, 0.536046
0.0470635, 0.51431
0.0512258, 0.486184
0.0649148, 0.455966
0.0435004, 0.44505
0.0251334, 0.430787
0.0614329, 0.399487
0.0588433, 0.382321
0.047197, 0.36648
0.0445861, 0.348756
0.0607649, 0.330978
0.0605209, 0.314158
0.0601352, 0.297096
0.0549671, 0.278558
0.055875, 0.2605
0.0464908, 0.237953
0.0623986, 0.224384
0.0449338, 0.194068
0.0477581, 0.171757
0.0433188, 0.142383
0.0486127, 0.117465
0.054921, 0.0911546
0.0803114, 0.0835267
0.104325, 0.0766475
0.133657, 0.080153
0.15489, 0.0747115
0.181671, 0.0828188
0.198049, 0.0715498
0.219102, 0.0731154
0.23898, 0.0744432
0.260892, 0.0931987
0.275997, 0.0722004
0.294399, 0.075891
0.311836, 0.0878609
0.330575, 0.0753942
0.351333, 0.0632152
0.367092, 0.0787745
0.383573, 0.0873965
0.40552, 0.0819318
0.431568, 0.0725322
0.449583, 0.0821331
0.47765, 0.0774869
0.510576, 0.0712169
0.543649, 0.0700392
0.559104, 0.0898872
0.606861, 0.0829695
0.668026, 0.0736773
0.704519, 0.0883618
0.789891, 0.0816667
0.897587, 0.0774367
1.01464, 0.0848589
1.21329, 0.0858585
1.55461, 0.0860611
2.23272, 0.0913359
2.44835, 0.215946
2.43977, 0.366233
2.45376, 0.517578
2.45655, 0.670971
2.4572, 0.827677
2.4407, 0.984373
2.45271, 1.15645
1.60581, 0.94022
1.58127, 1.04168
2.43887, 1.71983
2.44564, 1.94797
2.42573, 2.17936
2.42374, 2.4557
2.17543, 2.49002
1.92157, 2.48514
1.7004, 2.49039
1.48141, 2.4661
0.799613, 1.40549
0.716541, 1.41984
0.669973, 1.54618
0.721073, 2.16471
0.639986, 2.49525
0.485962, 2.49026
0.476552, 2.48109
0.327197, 2.47757
0.177939, 2.48527
0.0341375, 2.43261
0.039402, 1.66025
0.0402161, 1.3049
0.0483487, 1.07343
0.0421714, 0.953056
0.0502645, 0.837983
0.0573016, 0.753086
0.0449214, 0.713911
0.0524574, 0.655943
0.044998, 0.623919
0.0558606, 0.5785
0.0594766, 0.545789
0.0612677, 0.518279
0.0443532, 0.504587
0.0488945, 0.478986
0.0180032, 0.470438
0.0475864, 0.437895
0.0603445, 0.415256
0.0549942, 0.398541
0.0421295, 0.382371
0.0396336, 0.364217
0.0588688, 0.346399
0.0522384, 0.328715
0.0572455, 0.311808
0.037816, 0.289323
0.0414731, 0.270598
0.0622747, 0.258322
0.0514617, 0.233219
0.0687241, 0.220741
0.0513702, 0.186761
0.0491517, 0.158567
0.0560683, 0.134939
0.0614803, 0.107672
0.054118, 0.061993
0.100465, 0.0799205
0.13126, 0.0842534
0.154971, 0.0813883
0.178216, 0.0804583
0.203857, 0.0895071
0.222224, 0.0823748
0.24347, 0.0873258
